type,artist,title,url,current_price,original_price,release_date
"album","Paul Brtschitsch","","https://paulbrtschitsch.bandcamp.com/album/die-erinnerung-2","","",""
"album","Pureblast (ex Baraka)","","https://pureblast.bandcamp.com/album/feel-nice","","",""
"track","Cantrip People","The fundamentalist","https://robertleiner.bandcamp.com/track/the-fundamentalist","","",""
"track","Paragliders","Share of Bitterness - Flyer Mix","https://oliverlieb.bandcamp.com/track/share-of-bitterness-flyer-mix","","",""
"album","dyLAB","","https://analog-records.bandcamp.com/album/analog-48-stand-like-colossus","","",""
"track","Too Soon","Idle","https://sewersender.bandcamp.com/track/idle","","",""
"track","Too Soon","Entrance","https://sewersender.bandcamp.com/track/entrance","","",""
"track","Eletun Selona","Elli","https://sewersender.bandcamp.com/track/elli","","",""
"track","Eletun Selona","Sans","https://sewersender.bandcamp.com/track/sans","","",""
"track","Eletun Selona","Iimoas","https://sewersender.bandcamp.com/track/iimoas","","",""
"track","Eletun Selona","Our Prophecy","https://sewersender.bandcamp.com/track/our-prophecy","","",""
"track","Eletun Selona","Sunla","https://sewersender.bandcamp.com/track/sunla","","",""
"track","Mäteriet","The Hon","https://sewersender.bandcamp.com/track/the-hon","","",""
"album","Eletun Selona","","https://sewersender.bandcamp.com/album/sirma-soalate","","",""
"track","martinou","I have lost again -- --","https://sewersender.bandcamp.com/track/i-have-lost-again","","",""
"track","martinou","Jargon","https://sewersender.bandcamp.com/track/jargon","","",""
"album","Nokato Nomer","","https://sewersender.bandcamp.com/album/entennant","","",""
"track","Eletun Selona","Safe","https://sewersender.bandcamp.com/track/safe","","",""
"track","Arctor","Acid Huckster","https://tremorsglasgow.bandcamp.com/track/acid-huckster","","",""
"track","Gladstone Deluxe","Structure B","https://iswaswasis.bandcamp.com/track/structure-b","","",""
"track","Reptant","Native Mushrooms","https://lkrrecords.bandcamp.com/track/native-mushrooms","","",""
"track","Viikatory","Cinema","https://tresorberlin.bandcamp.com/track/cinema","","",""
"track","James Shinra","Propeller","https://jamesshinra.bandcamp.com/track/propeller","","",""
"track","Gladstone Deluxe","Errant Core","https://iswaswasis.bandcamp.com/track/errant-core","","",""
"track","Kincaid","71122.0 (Placid One Acid Remix)","https://shawcuts.bandcamp.com/track/711220-placid-one-acid-remix","","",""
"track","Kincaid","Glucose (Christian Coiffure Remix)","https://shawcuts.bandcamp.com/track/glucose-christian-coiffure-remix","","",""
"album","useless seconds","","https://uselessseconds.bandcamp.com/album/unda-vol-i","","",""
"track","Hysteria Temple Foundation","Kamea","https://hysteriatemplefoundation.bandcamp.com/track/kamea","","",""
"track","Souzo","Haze Modulator","https://uselessseconds.bandcamp.com/track/haze-modulator","","",""
"track","A Strange Wedding","Wormhole Breaker","https://uselessseconds.bandcamp.com/track/wormhole-breaker","","",""
"track","Clarence Rise","Sleep Deprivation","https://cellardoorhypnosis.bandcamp.com/track/sleep-deprivation","","",""
"track","Giuseppe Falivene","Solstice","https://suboscrecords.bandcamp.com/track/solstice","","",""
"album","ØSC, Andrea Zapata, Øbsidiaän, A.Denial, Van Morph","","https://orbitando.bandcamp.com/album/v-a-lunar-synthesis-part-1","","",""
"album","Martinou","","https://nousklaer.bandcamp.com/album/always-there","","",""
